id,event_template_id,event_template_qty_id,currency_id,price_base,markup_amount,duration,min_total,reason
1794287,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794289,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794291,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794293,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794295,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794297,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794299,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794301,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794303,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794305,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794307,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794309,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794311,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794313,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794315,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794317,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794319,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794321,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794323,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794325,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794327,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794329,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794331,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794333,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794335,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794337,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794339,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794341,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794343,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794345,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794347,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794349,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794351,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794353,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794355,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794357,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794359,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794361,509,40,2,1105.00,165.75,2,2000.00,below_min_total
