1794247,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794249,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794251,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794253,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794255,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794257,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794259,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794261,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794263,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794265,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794267,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794269,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794271,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794273,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794275,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794277,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794279,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794281,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794283,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794285,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794287,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794289,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794291,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794293,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794295,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794297,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794299,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794301,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794303,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794305,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794307,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794309,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794311,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794313,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794315,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794317,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794319,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794321,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794323,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794325,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794327,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794329,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
